"","year","month","max_temp","min_temp","mean_temp","rain_mm","snow_cm","hot_days","cold_days","winter_rain"
16,1890,6.526027397260274,9.432328767123286,0.7202739726027383,5.084383561643837,860.8999999999997,290.7000000000002,7.0,29.000000000000004,115.29999999999998
17,1891,6.526027397260274,11.247527472527468,2.092857142857142,6.677747252747251,709.2431318681319,211.3791208791209,5.0,11.999999999999998,128.65247252747253
18,1892,6.5136612021857925,9.885792349726776,1.7251366120218563,5.813114754098367,688.3142076502731,386.4412568306013,4.9863387978142075,20.942622950819672,38.793715846994544
19,1893,6.526027397260274,9.67068493150685,0.7112328767123303,5.198082191780822,766.1,266.80000000000007,4.0,41.0,34.1
20,1894,6.526027397260274,11.023561643835613,1.8676712328767109,6.456712328767125,613.3000000000002,180.1,4.0,17.0,39.8
21,1895,6.526027397260274,10.570410958904107,1.814794520547943,6.201643835616444,809.6999999999997,175.10000000000002,2.0,17.0,88.69999999999999
22,1896,6.5136612021857925,9.640163934426232,1.1975409836065594,5.425683060109291,747.252732240437,269.46174863387995,4.9863387978142075,23.934426229508198,10.870218579234972
23,1897,6.526027397260274,10.084931506849312,1.6465753424657572,5.8758904109589,681.6,320.20000000000016,8.0,14.0,92.80000000000003
24,1898,6.526027397260274,10.980273972602738,2.633150684931509,6.817260273972601,754.5999999999997,376.80000000000024,5.999999999999999,16.0,53.6
25,1899,6.526027397260274,10.573972602739728,2.150958904109588,6.372328767123288,835.7999999999998,272.1000000000001,4.0,17.0,125.0
26,1900,6.526027397260274,10.424657534246569,1.8621917808219202,6.149863013698635,877.5999999999995,444.3000000000003,2.9999999999999996,22.0,131.00000000000003
27,1901,6.526027397260274,10.268219178082187,2.2613698630136962,6.272054794520544,896.9,318.3000000000001,11.0,19.0,80.19999999999999
28,1902,6.526027397260274,10.326849315068493,2.118356164383558,6.232876712328766,903.0999999999993,285.6000000000001,0.0,19.0,58.199999999999996
29,1903,6.526027397260274,10.613150684931504,2.0090410958904097,6.319178082191779,632.4,286.70000000000033,2.0,18.0,86.7
30,1904,6.5136612021857925,8.265300546448087,0.16475409836066157,4.222131147540982,820.9508196721305,312.4439890710383,0.9972677595628415,43.87978142076503,21.042349726775953
31,1905,6.526027397260274,9.540000000000001,1.3126027397260318,5.4378082191780805,630.8,330.90000000000015,2.0,26.0,30.9
32,1906,6.526027397260274,10.500273972602745,1.9989041095890419,6.254794520547946,651.5000000000001,309.7,2.9999999999999996,21.0,94.80000000000001
33,1907,6.526027397260274,9.090410958904098,1.1501369863013668,5.127671232876714,700.6000000000004,336.90000000000015,4.0,21.0,79.9
34,1908,6.5136612021857925,10.459289617486336,1.8207650273224056,6.147267759562842,643.6366120218577,436.2049180327871,5.983606557377049,23.934426229508198,64.224043715847
35,1909,6.526027397260274,9.947123287671225,2.245753424657531,6.1041095890410935,785.9999999999997,240.70000000000016,4.0,13.0,120.2
36,1910,6.526027397260274,10.399178082191778,2.646027397260277,6.532876712328772,782.7999999999993,280.60000000000014,1.0,19.0,54.69999999999999
37,1911,6.526027397260274,10.796986301369854,2.4052054794520537,6.608219178082195,656.8,275.30000000000007,18.0,19.0,84.0
38,1912,6.5136612021857925,9.280601092896179,1.3040983606557357,5.298633879781422,817.6598360655737,303.9672131147543,8.975409836065573,27.923497267759565,51.95765027322404
39,1913,6.526027397260274,11.44958904109589,2.741643835616437,7.106301369863018,815.9999999999994,250.90000000000006,5.0,10.0,83.69999999999996
40,1914,6.526027397260274,9.786575342465756,1.0684931506849347,5.432876712328764,521.1000000000003,310.8000000000001,8.0,30.0,43.7
41,1915,6.526027397260274,11.32684931506848,3.1364383561643816,7.240547945205488,576.1000000000004,167.4,4.0,9.0,153.9
42,1916,6.5136612021857925,10.412021857923502,1.9060109289617517,6.168032786885249,734.587431693989,249.51639344262304,14.959016393442623,20.942622950819672,115.68306010928963
43,1917,6.526027397260274,8.385479452054797,0.14602739726027653,4.275616438356165,843.4,292.6,7.0,37.0,53.00000000000001
